,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Europe: In March 2018, we  started operation of the first development project operated by Wintershall in Norway at the Maria oilfield in the Norwegian Sea.",1,0.0579,853,"We focus on exploration and production in oil and gas-rich regions in Europe, North Africa, Russia, South America and the Middle East – core regions in which Wintershall has a high level of regional and technological expertise. Europe: In March 2018, we  started operation of the first development project operated by Wintershall in Norway at the Maria oilfield in the Norwegian Sea. In addition, the Norwegian Ministry of Petroleum and Energy approved the development and operation plan for the Nova field (previously: Skarfjell) operated by Wintershall, which is scheduled to start production in 2021."
1,Does the company operate in countries out of the European Union?,1,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This primarily relates to activities in Germany, Norway and Argentina, which are reported as joint operations pursuant to IFRS 11.",2,0.0015,2495,"A majority of the activities in the discontinued oil and gas business are conducted through joint activities and not in separate companies. This primarily relates to activities in Germany, Norway and Argentina, which are reported as joint operations pursuant to IFRS 11. BASF-YPC Company Ltd., Nanjing, China, is operated by BASF together with its partner, Sinopec, at the Verbund site in Nanjing."
2,Does the company operate in countries out of the European Union?,1,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Production at the Aasta Hansteen gas field in the Norwegian Sea, which is operated by Equinor, started in 2018.",3,0.0009,855,"In addition, the Norwegian Ministry of Petroleum and Energy approved the development and operation plan for the Nova field (previously: Skarfjell) operated by Wintershall, which is scheduled to start production in 2021. Production at the Aasta Hansteen gas field in the Norwegian Sea, which is operated by Equinor, started in 2018. A Wintershall exploration well discovered another gas field near Aasta Hansteen and we are now investi gating the possibilities of developing this find."
3,Does the company operate in countries out of the European Union?,1,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,It forms the basis for our global management process: We monitor and evaluate whether the national law of all the countries in which BASF operates complies with international labor and social standards.,4,0.0008,1332,"This guideline concretizes what the human rights issues and international labor standards in our global Code of Conduct mean as these relate to our employees. It forms the basis for our global management process: We monitor and evaluate whether the national law of all the countries in which BASF operates complies with international labor and social standards. If the national law contains no or lower require ments, actions plans are drawn up to succes sively close these gaps in a reasonable time frame."
4,Does the company operate in countries out of the European Union?,1,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The working conditions of our employees are, at minimum, in compliance with internationally recognized labor standards and the laws of the countries we operate in.",5,0.0005,3101,"For this reason, we also support our suppliers and business partners in their efforts to act in accordance with internationally recognized standards. The working conditions of our employees are, at minimum, in compliance with internationally recognized labor standards and the laws of the countries we operate in. This includes the prevention of child and forced labor, adherence to the principle of non-discrimination in the workplace, the right of freedom of association and assembly, and the right to collective bargaining."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our investments in production facilities as well as in research and develop ment serve to bring products to market for our local and global customers in this fast-growing region.,1,0.0068,884,"We started production of citral, citronellol and menthol at our new aroma ingredients complex in Kuantan, Malaysia. Our investments in production facilities as well as in research and develop ment serve to bring products to market for our local and global customers in this fast-growing region. Sales at companies located in the region South America, Africa, Middle East increased by 1% compared with 2017 to €3,628 mil-lion."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"With its production facilities, the Chemicals segment is at the heart of the Verbund and supplies BASF’s segments with basic chemicals for the production of downstream products.",2,0.0037,676,"Strategy ▪ Integrated production facilities form core of Verbund ▪ Technology and cost leadership provide most important competitive edge. With its production facilities, the Chemicals segment is at the heart of the Verbund and supplies BASF’s segments with basic chemicals for the production of downstream products. As a reliable supplier, we provide chemicals of consistent quality and market them to customers in downstream industries."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We aim to strengthen our position in the European market though invest ments, for example in a production plant for battery materials in Harjavalta, Finland.",3,0.0024,873,"Softer margins had a significant influence on earnings development in the Functional Materials & Solutions and Performance Products segments. We aim to strengthen our position in the European market though invest ments, for example in a production plant for battery materials in Harjavalta, Finland. This investment supports the European Commission’s goal of establishing a European value chain for battery production."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our Verbund production ensures that the characteristics and quality of all end products remain unchanged and that our customers can use them as usual.,4,0.0013,957,"Should a customer select a biomass balanced product, the proportion of renewable feedstock to be used is calculated based on the formulation. Our Verbund production ensures that the characteristics and quality of all end products remain unchanged and that our customers can use them as usual. This method has already been applied for more than 60 BASF products – for example, for superabsorbents, dispersions, plastics such as polyamides and polyurethanes, and for intermediates available on the market as “drop-in products.” These can be used in place of previously employed products in the production process without having to change the process itself."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,BasF,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The production facility at Mundra port would also be our first CO2-neutral site, operated with 100% renewable energy.",5,0.0009,90,"In January 2019, we signed a memorandum of understanding with India’s Adani Group regarding a major investment in the acrylics value chain in India. The production facility at Mundra port would also be our first CO2-neutral site, operated with 100% renewable energy. For our shareholders, we want to deliver above-average value compared with the chemical industry and increase our dividend per share each year."
