,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company operates in certain countries where the economic conditions continue to present significant challenges.,1,0.9892,1925,"In recent years, tax authorities around the world have increased their scrutiny of company tax filings, and have become more rigid in exercising any discretion they may have. The Company operates in certain countries where the economic conditions continue to present significant challenges. At the same time, the European Commission is finalizing its Anti Tax Avoidance Directive, which seeks to prevent tax avoidance by companies and to ensure that companies pay appropriate taxes in the markets where profits are effectively made and business is effectively performed."
1,Does the company operate in countries out of the European Union?,1,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company’s businesses are subject to varying degrees of governmental regulation in the countries in which operations are conducted, and the general trend is toward increasingly stringent regulation.",2,0.0284,1560,"This leads to significant reductions in the emissions of key pollutant parameters (less than 10% of licensed amounts), e.g. The Company’s businesses are subject to varying degrees of governmental regulation in the countries in which operations are conducted, and the general trend is toward increasingly stringent regulation. Additionally this technology offers the potential to reduce discharges of residual APIs to the environment."
2,Does the company operate in countries out of the European Union?,1,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Like other companies in the healthcare industry, the Company is subject to extensive regulation, investigations and legal action, by national, state and local government agencies in the U.S. and other countries in which they operate.",3,0.0032,1639,"Defaults, Dividend Arrearages and Delinquencies ..........................................................................................................219 Item 14. Like other companies in the healthcare industry, the Company is subject to extensive regulation, investigations and legal action, by national, state and local government agencies in the U.S. and other countries in which they operate. Principal Accountant Fees and Services ..............................................................................................................................224 Item 16D."
3,Does the company operate in countries out of the European Union?,1,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company faces substantial competition in all three operating segments and in all geographic markets.,4,0.0015,1620,W6.2a 	(W6.2a) Identify the position(s) of the individual(s) on the board with responsibility for water-related issues. The Company faces substantial competition in all three operating segments and in all geographic markets. Name of the position(s) and/or committee(s) 	Responsibility 	Frequency of reporting to the board on water-related issues 	Please explain 	Name of the position(s) and/or committee(s) 	Responsibility 	Frequency of reporting to the board on water-related issues 	Please explain 	W6.5 	(W6.5) Do you engage in activities that could either directly or indirectly influence public policy on water through any of the following?
4,Does the company operate in countries out of the European Union?,1,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Johnson & Johnson is a holding company, which has more than 260 operating companies conducting business in virtually all countries of the world.",5,0.0012,1521,"The Novartis Global Health and Corporate Responsibility Leadership Team (GH CRLT) comprised of leaders from each division and across multiple functions of the company, guides this work. Johnson & Johnson is a holding company, which has more than 260 operating companies conducting business in virtually all countries of the world. For external advocacy, Corporate Affairs has developed a document describing eight advocacy principles as guidance for efforts regarding CR."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Following FDA inspections in 2015, McNEIL-PPC received notifications from the FDA that all three manufacturing facilities are in conformity with applicable laws and regulations, and commercial production has restarted.",1,0.0017,1686,"Because we typically have substantially reduced marketing and research and development expenses related to products that are in their final years of exclusivity, the initial loss of intellectual property protection for a product during the year could also have an impact on our 2019 operating income in an amount corresponding to a significant portion of the product’s lost sales. Following FDA inspections in 2015, McNEIL-PPC received notifications from the FDA that all three manufacturing facilities are in conformity with applicable laws and regulations, and commercial production has restarted. Key Information 12pharmaceutical products in such geographies; and our ability to successfully develop and launch profitable new products to replace the income lost to generic competition."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Regulatory issues regarding compliance with Good Manufacturing Practices (cGMP) (and comparable quality regulations in foreign countries) by manufacturers of drugs, devices and consumer products can lead to fines and penalties, product recalls, product shortages, interruptions in production, delays in new product approvals and litigation.",2,0.0007,1640,"Material Modifications to the Rights of Security Holders and Use of Proceeds .............................................220 Item 15. Regulatory issues regarding compliance with Good Manufacturing Practices (cGMP) (and comparable quality regulations in foreign countries) by manufacturers of drugs, devices and consumer products can lead to fines and penalties, product recalls, product shortages, interruptions in production, delays in new product approvals and litigation. Exemptions from the Listing Standards for Audit Committees ................................................................................225 Item 16E."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,These trademarks are protected by registration in the U.S. and other countries where such products are marketed.,3,0.0007,1549,"Linkages and trade-offs W9.1 (W9.1) Has your organization identified any linkages or tradeoffs between water and other environmental issues in its direct operations and/or other parts of its value chain? These trademarks are protected by registration in the U.S. and other countries where such products are marketed. Several Novartis sites in Austria, Italy, Spain and Slovenia use large quantities of water from river side banks to cool their production processes and additional sites in e.g."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Product recalls have in the past, and could in the future, prompt government investigations and inspections, the shutdown of manufacturing facilities, continued product shortages and related sales declines, significant remediation costs, reputational damage, possible civil penalties and criminal prosecution.",4,0.0006,1591,"Impact of the engagement and measures of success 	Comment 	W1.4c 	(W1.4c) What is your organization’s rationale and strategy for prioritizing engagements with customers or other partners in its value chain? Product recalls have in the past, and could in the future, prompt government investigations and inspections, the shutdown of manufacturing facilities, continued product shortages and related sales declines, significant remediation costs, reputational damage, possible civil penalties and criminal prosecution. W3.3a 	(W3.3a) Select the options that best describe your procedures for identifying and assessing water-related risks."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Johnson,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Illegal Importation of Pharmaceutical Products: The illegal importation of pharmaceutical products from countries where government price controls or other market dynamics result in lower prices may adversely affect the Company’s sales and profitability in the U.S. and other countries in which the Company operates.,5,0.0006,1653,"Such forward-looking statements are based on the current beliefs and expectations of management regarding future events, and are subject to significant known and unknown risks and uncertainties. Illegal Importation of Pharmaceutical Products: The illegal importation of pharmaceutical products from countries where government price controls or other market dynamics result in lower prices may adversely affect the Company’s sales and profitability in the U.S. and other countries in which the Company operates. Operating and Financial Review and Prospects.” Should one or more of these risks or uncertainties materialize, or should underlying assumptions prove incorrect, actual results may vary materially from those described in this Annual Report as anticipated, believed, estimated or expected."
