,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Contingencies Group companies have to observe the laws, government orders and regulations of the country in which they operate.",1,0.0047,4628,"It does not enter into any financial transactions containing a risk that cannot be quantified at the time the transaction is concluded. Contingencies Group companies have to observe the laws, government orders and regulations of the country in which they operate. The Group only sells existing assets or enters into transactions and future transactions (in the case of anticipatory hedges) that it confidently expects it will have in the future, based on past experience."
1,Does the company operate in countries out of the European Union?,1,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Group is exposed to a potential adverse devaluation risk on its intercompany funding and total investment in certain subsidiaries operating in countries with exchange controls.,2,0.0041,3104,"Our multinational operations are taxed under the laws of the countries and other jurisdictions in which we operate. The Group is exposed to a potential adverse devaluation risk on its intercompany funding and total investment in certain subsidiaries operating in countries with exchange controls. The majority of the jurisdictions in which we operate have double tax treaties with other foreign jurisdictions, which provide a framework for mitigating the impact of double taxation on our revenues and capital gains."
2,Does the company operate in countries out of the European Union?,1,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In recent years, there has been a trend of increasing government investigations and litigation against companies operating in our industry, including in the United States and other countries.",3,0.0037,3176,"If this occurs, it could impact the effective prices we would be able to charge for our products and also have an adverse impact on both our consolidated income statement and balance sheet. In recent years, there has been a trend of increasing government investigations and litigation against companies operating in our industry, including in the United States and other countries. The most significant country in this respect was Venezuela, where the Group incurred significant foreign exchange losses in 2015 and 2016."
3,Does the company operate in countries out of the European Union?,1,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our multinational operations are taxed under the laws of the countries and other jurisdictions in which we operate.,4,0.0028,1920,"Post-employment benefits for associates.” See also “—Political and economic instability may have a material adverse effect on our results,” above. Our multinational operations are taxed under the laws of the countries and other jurisdictions in which we operate. However, the integrated nature of our worldwide operations can produce conflicting claims from revenue authorities in different countries as to the profits to be taxed in the individual countries, including potential disputes relating to the prices our subsidiaries charge one another for intercompany transactions, known as transfer pricing."
4,Does the company operate in countries out of the European Union?,1,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We are obligated to comply with the laws of all countries in which we operate, as well as any new requirements that may be imposed upon us.",5,0.001,4488,"• Group-wide initiatives to streamline Novartis Technical Operations and implement new technologies, mainly in the Innovative Medicines Division but also in the Sandoz Division, continued. We are obligated to comply with the laws of all countries in which we operate, as well as any new requirements that may be imposed upon us. • The Alcon Division continued initiatives to realign its operations to focus on the Surgical and Vision Care businesses after the Ophthalmic Pharmaceuticals business transfer to the Innovative Medicines Division."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Any significant failure by us or our third party suppliers to comply with these requirements or the health authorities’ expectations may cause us to shut down the production facilities or production lines.,1,0.0148,3080,"For this reason, there are strict regulatory requirements surrounding our manufacturing processes, which, in addition to our own quality standards, introduce a greater chance for disruptions and liabilities. Any significant failure by us or our third party suppliers to comply with these requirements or the health authorities’ expectations may cause us to shut down the production facilities or production lines. Beyond regulatory requirements, many of our products involve technically sophisticated manufacturing processes or require specialized raw materials."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Any significant failure by us or our third-party suppliers to comply with these requirements, or with the health authorities’ expectations, may cause us to shut down the production facilities or production lines and recall previously shipped products.",2,0.0098,1779,"And in recent years, these health authorities have substantially intensified their scrutiny of manufacturers’ compliance with such requirements. Any significant failure by us or our third-party suppliers to comply with these requirements, or with the health authorities’ expectations, may cause us to shut down the production facilities or production lines and recall previously shipped products. Alternatively, we may be forced to do so by a government health authority, or could be prevented from importing our products from one country to another."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In March 2018, the second phase of expansion of the Grosswallstadt, Germany, and Singapore facilities relating to the production of contact lenses was approved.",3,0.0037,2769,"An expansion of our Alcon Division’s Johns Creek, Georgia, facility was approved in 2017 to add three production lines of Dailies Total1 contact lenses. In March 2018, the second phase of expansion of the Grosswallstadt, Germany, and Singapore facilities relating to the production of contact lenses was approved. In July 2018, AveXis initiated construction of a new 15 800-square-meter state-of-the-art gene therapy manufacturing facility in Durham, North Carolina."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In the EU, products that we have sold to customers in countries with stringent price controls can be legally resold to customers in other EU countries at a lower price than the price at which the product is otherwise available in the importing country (known as parallel trade).",4,0.001,2475,"Cross-border sales Price controls in one country can also have an impact in other countries as a result of cross-border sales. In the EU, products that we have sold to customers in countries with stringent price controls can be legally resold to customers in other EU countries at a lower price than the price at which the product is otherwise available in the importing country (known as parallel trade). Given the increased focus on pharmaceutical prices in the US, the Trump administration, certain members of the US Congress, and select state legislators continue to explore legislation to allow the safe importation of pharmaceutical products into the US from select countries, including Canada."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Novartis,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, a product may be available under different brand names depending on country and indication.",5,0.0009,2161,"While we typically seek to sell our marketed products throughout the world, not all products and indications are currently available in every country. In addition, a product may be available under different brand names depending on country and indication. Some of the products listed below have lost patent protection or are otherwise subject to generic competition."
