,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Read later became accountable for operations in both the Africa/Middle East region and Latin America as well.,1,0.0043,1586,"W1.4a 	(W1.4a) What proportion of suppliers do you request to report on their water use, risks and/or management information and what proportion of your procurement spend does this represent? Read later became accountable for operations in both the Africa/Middle East region and Latin America as well. Type of engagement 	Details of engagement 	% of suppliers by number 	% of total procurement spend 	Rationale for the coverage of your engagement."
1,Does the company operate in countries out of the European Union?,1,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Because Pfizer is a global company, the laws and regulatory requirements of one country may apply to activities in another country.",2,0.0027,80,"Technology Relevant, sometimes included Emerging technology for production techniques may introduce more stress in an area impacted by climate change, possibly resulting in a capacity constraint and a risk to the business, so Novartis considers consumption requirements in terms of the supply chain and system of systems. Because Pfizer is a global company, the laws and regulatory requirements of one country may apply to activities in another country. In many cases, there are legal requirements to be met regarding carbon emissions trading schemes or other emissions."
2,Does the company operate in countries out of the European Union?,1,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Lund-Jurgensen joined the company in 1999 from SmithKline Beecham where she held various global operational and leadership roles in Australia, Germany and the United States.",3,0.001,387,"Considering climate relevant data collection in general, we reached 91% response rate including the CDP responses. Lund-Jurgensen joined the company in 1999 from SmithKline Beecham where she held various global operational and leadership roles in Australia, Germany and the United States. In addition, the data supports our efforts to measure the reduction of our environmental footprint more accurately in the mid to long-term."
3,Does the company operate in countries out of the European Union?,1,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In this role, Ms. Hwang leads a global organization that operates in 160 countries, with a portfolio of more than 600 products that generates approximately $21 billion in revenue annually.",4,0.0006,782,"As we research and develop new drugs, we systematically assess our product portfolio against the unmet needs of underserved populations and will integrate these needs, as appropriate, into our drug discovery and development strategy. In this role, Ms. Hwang leads a global organization that operates in 160 countries, with a portfolio of more than 600 products that generates approximately $21 billion in revenue annually. Three main areas are considered: development of new formulations, expansion of the clinical use of existing medicines into new indications and populations (e.g., pediatric populations), and research to better understand issues of relevance for adaptive development (e.g., genetic polymorphisms)."
4,Does the company operate in countries out of the European Union?,1,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We will operate in the best interests of the Company and our shareholders, be forthright about our operations and performance, and exercise care in the use of assets, information and resources.",5,0.0005,1032,"The team will also help ensure that respect for human rights is embedded and integrated into all aspects of our business around the world. We will operate in the best interests of the Company and our shareholders, be forthright about our operations and performance, and exercise care in the use of assets, information and resources. We have established that we have strong policies and solid processes to identify and manage potential human rights risks in our operations (e.g., comprehensive processes to try to ensure patient health and safety at all stages of the value chain; efficient workplace health and safety management systems; a living wage program; a functioning whistle blower system with a high level of awareness among associates; and a solid, responsible procurement organization)."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Because Pfizer is a global company, the laws and regulatory requirements of one country may apply to activities in another country.",1,0.0011,80,"Technology Relevant, sometimes included Emerging technology for production techniques may introduce more stress in an area impacted by climate change, possibly resulting in a capacity constraint and a risk to the business, so Novartis considers consumption requirements in terms of the supply chain and system of systems. Because Pfizer is a global company, the laws and regulatory requirements of one country may apply to activities in another country. In many cases, there are legal requirements to be met regarding carbon emissions trading schemes or other emissions."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"If something is trademarked, patented or copyrighted in one country, is it protected in other countries too.",2,0.0008,163,"Extended heat events may eventually overwhelm installed cooling capacity, resulting in variations in temperature and humidity in research and production operations that are unacceptable. If something is trademarked, patented or copyrighted in one country, is it protected in other countries too. Sites may have to invest in the reinforcement of site infrastructure (larger storm water run-off, specific building protection, greater cooling capacity, etc."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We also have worked diligently toward remediating issues in the legacy-Hospira manufacturing plants and reducing the related product shortages.,3,0.0006,1438,"The aim is to support our suppliers in building the capability to monitor, improve and report their environmental impacts. We also have worked diligently toward remediating issues in the legacy-Hospira manufacturing plants and reducing the related product shortages. In addition, we collect more detailed and specific data on the water impact for about 50% of those suppliers through a dedicated supplier survey platform."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Many countries have antitrust or competition laws, though these vary significantly from country to country.",4,0.0005,137,"Management method Standardized responses are being developed to streamline reporting processes, and requirements for carbon reporting have been written into appropriate contracts with staff and companies executing utilities procurement. Many countries have antitrust or competition laws, though these vary significantly from country to country. Cost of management is the same as the financial impact, and is based on aggregated cost of labor costs across multiple paygrades in addition to external consultant fees."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Pfizer,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In 2017, Pfizer Oncology achieved a large number of product approvals by the FDA, EMA and regulatory authorities around the globe.",5,0.0004,101,"Accordingly, risk treatment strategies are developed and implemented to ensure adequate risk control. In 2017, Pfizer Oncology achieved a large number of product approvals by the FDA, EMA and regulatory authorities around the globe. Second-priority risks are those that either have controls in place but require strict supervision/monitoring (due to potential impact), or that have a low impact but have control weaknesses."
