,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Roche operates around the globe and it is our obligation to comply with the tax requirements in any country where we operate.,1,0.015,1288,"The high response rate, as described above, underpins the success of our engagement and is believed to result in long-term economic benefits for us and our suppliers. Roche operates around the globe and it is our obligation to comply with the tax requirements in any country where we operate. The PSCI is performing workshops and webinars around sustainability and enables further capability building for the suppliers."
1,Does the company operate in countries out of the European Union?,1,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Roche has always been open to new and different approaches, doing business in numerous countries with many different cultures.",2,0.0077,1224,"Water withdrawals – volumes by source 100% Water Input (Withdrawals) is the sum of all fresh water amounts entering a site from all types of water sources (Where from). Roche has always been open to new and different approaches, doing business in numerous countries with many different cultures. Not relevant Water withdrawal quality is usually monitored at the specific site, which uses the withdrawn water."
2,Does the company operate in countries out of the European Union?,1,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As doing foreign trade business is a privilege, Roche is committed to complying with all customs, trade and export control regulations, taking into consideration potential conflicting regulations among the countries in which we operate.",3,0.0034,1310,"The method and strategy for our engagement includes HSE audits and followed by corrective action plans, if necessary. As doing foreign trade business is a privilege, Roche is committed to complying with all customs, trade and export control regulations, taking into consideration potential conflicting regulations among the countries in which we operate. Additional visits of suppliers, results in a better understanding and awareness of HSE topics, on our expectations and improvements, and on next steps of actions as specifically agreed."
3,Does the company operate in countries out of the European Union?,1,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Customs and Trade Roche operates around the globe and processes daily imports, exports and transits of a variety of goods.",4,0.002,974,"In October 2018, we announced the creation of a new risk function called Novartis Business Assurance & Advisory, with the Head of the function reporting directly to the CEO. Customs and Trade Roche operates around the globe and processes daily imports, exports and transits of a variety of goods. We have also significantly expanded our in house forensic capabilities to authenticate suspicious medicines by procuring two additional authentication spectrometric toolkits (i.e., mobile laboratories) covering the Americas and Asia-Pacific in addition to Europe, the Middle East and Africa."
4,Does the company operate in countries out of the European Union?,1,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Roche is continously modernising its infrastructure to ensure successful and sustainable operations.,5,0.0015,739,"2017 by working to consolidate the data available across Novartis, and in 2018, we launched an enhanced version of our I&C risk assessment dashboard, incorporating country risks and mitigation and monitoring plans in one central place. Roche is continously modernising its infrastructure to ensure successful and sustainable operations. The harmonization of this process is another example of simplification, helping our local teams identify and manage risk effectively."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Roche, Genentech and Chugai are members of the Pharmaceutical Security Institute, which hosts a database with more than 14,000 product crime cases.",1,0.0008,589,"Credit origination or credit purchase 	Project type 	Project identification 	Verified to which standard 	Number of credits (metric tonnes CO2e) 	Number of credits (metric tonnes CO2e): Risk adjusted volume. Roche, Genentech and Chugai are members of the Pharmaceutical Security Institute, which hosts a database with more than 14,000 product crime cases. Impact of engagement, including measures of success 	Comment 	C12.1b 	(C12.1b) Give details of your climate-related engagement strategy with your customers."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Waste minimisation and reduction measures are not only restricted to production processes but are evaluated and implemented across all operations at Roche.,2,0.0005,155,"Those have been extended out through the next 12 years, planning costs have been added and a discount rate has been applied. Waste minimisation and reduction measures are not only restricted to production processes but are evaluated and implemented across all operations at Roche. Direct operations Risk type Physical risk Primary climate-related risk driver Chronic: Changes in precipitation patterns and extreme variability in weather patterns Type of financial impact driver."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We have set ourselves the ambitious goal of voluntarily phasing out these SVHC from our products and processes worldwide within ten years of their appearing on the list, where technically feasible.",3,0.0005,686,"But too often we see a trade-off mentality, where “shared value” is targeted across two bottom lines, at the expense of the third. We have set ourselves the ambitious goal of voluntarily phasing out these SVHC from our products and processes worldwide within ten years of their appearing on the list, where technically feasible. There is growing market awareness that impact valuation – the quantifying of impacts in monetary terms – can bring key social and environmental value into the equation."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"With sales of CHF 2.4 billion in its first full year on key markets, Ocrevus has been the most successful new product launch in Roche’s history.",4,0.0004,1106,"This report aims to meet the needs and expectations of CR professional audiences by offering easy access to our performance on key topics raised by our CR materiality analysis. With sales of CHF 2.4 billion in its first full year on key markets, Ocrevus has been the most successful new product launch in Roche’s history. The number of substantiated allegations may change due to the fact that investigation reports with assessments are received on an ongoing basis, which potentially leads to a difference in numbers at a later stage."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Roche,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Roche does not tolerate misleading claims which disparage its products, and protects its products and interests against unfair competition.",5,0.0004,1156,"Examples may include using big data analysis or developing personalized healthcare solutions (e.g., products with companion diagnostic tests), and improving health solutions based on data collected by wearables. Roche does not tolerate misleading claims which disparage its products, and protects its products and interests against unfair competition. Diversity and inclusion Ensuring equal opportunities and fostering a diverse and inclusive workplace where each associate can contribute and be recognized."
