,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Does the company operate in countries out of the European Union?,1,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In certain countries, we carry on some of our business operations through joint ventures with local partners.",1,0.0127,1919,"to our consolidated financial statements for the year ended December 31, 2010, included in our annual report on Form 20-F for that year. In certain countries, we carry on some of our business operations through joint ventures with local partners. In addition, we have entered into worldwide collaboration agreements (i) with Regeneron, relating to Zaltrap®, human therapeutic antibodies such as Praluent® and antibodies in immunology such as Dupixent® and Kevzara®; and (ii) with BMS, relating to Plavix®."
1,Does the company operate in countries out of the European Union?,1,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,It encompasses how Sanofi promotes and respects human rights in our business operations in all countries where we operate.,2,0.0021,511,"This commitment underlies our relationships with each of our stakeholders and defines how we work on a daily basis. It encompasses how Sanofi promotes and respects human rights in our business operations in all countries where we operate. Ethics and transparency are fundamental to building trust and, therefore, to our ability to succeed in our mission of Empowering Life."
2,Does the company operate in countries out of the European Union?,1,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We operate our business through office premises and research, production and logistics facilities in approximately 100 countries around the world.",3,0.002,1934,"Sanofi European Treasury Center SA (SETC), a 100%-owned Sanofi subsidiary incorporated in 2012 under the laws of Belgium, is dedicated to providing financing and various financial services to our subsidiaries. We operate our business through office premises and research, production and logistics facilities in approximately 100 countries around the world. Our office premises house all of our support functions, plus operational representatives from our subsidiaries and the Company."
3,Does the company operate in countries out of the European Union?,1,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In all countries where we operate, we seek to strike a balance between our economic interests and those of our employees, which we regard as inseparable.",4,0.0016,2788,"The Board pays particular attention to the availability of directors, and makes sure that their other professional commitments do not prevent them from fully discharging their remit with respect to the Company. In all countries where we operate, we seek to strike a balance between our economic interests and those of our employees, which we regard as inseparable. Our responsibility towards our employees is based on the basic principles of our Social Charter, which outlines the rights and duties of all Sanofi employees."
4,Does the company operate in countries out of the European Union?,1,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We have a commercial presence in approximately 100 countries, and our products are available in more than 170 countries.",5,0.001,1452,"For more information on market shares and rankings see “Presentation of Financial and Other Information” at the beginning of this Annual Report on Form 20-F. B.6.1. We have a commercial presence in approximately 100 countries, and our products are available in more than 170 countries. ■ Europe: we are the second largest pharmaceutical company in France where our market share is 7.2% and we rank fourth in Germany with a 4.4% market share."
5,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The French chemical manufacturing sites in Aramon, Sisteron and Vertolaye, as well as the plants located in the Hoechst Industry Park in Frankfurt, Germany, and the chemical production site in Budapest, Hungary, are listed Seveso III (from the name of the European directive that deals with potentially dangerous sites through a list of activities and substances associated with classification thresholds).",1,0.3335,1895,"The preventive measures are designed primarily to reduce the number and seriousness of work accidents and to minimize exposures involving permanent and temporary Sanofi employees as well as our sub-contractors. The French chemical manufacturing sites in Aramon, Sisteron and Vertolaye, as well as the plants located in the Hoechst Industry Park in Frankfurt, Germany, and the chemical production site in Budapest, Hungary, are listed Seveso III (from the name of the European directive that deals with potentially dangerous sites through a list of activities and substances associated with classification thresholds). In accordance with French law on technological risk prevention, the French sites are also subject toheightened security inspections due to the toxic or flammable materials stored on the sites and used in the operating processes."
6,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In 2017, we also invested in our industrial facilities to deliver the production capacity needed for those products, including an extension to our vaccine facility at Val-de-Reuil (France) and a strategic alliance with Lonza to create a large-scale biologics production facility at Visp (Switzerland).",2,0.0064,1990,"We also entered into an agreement with MedImmune to develop and commercialize a vaccine for the prevention of respiratory diseases. In 2017, we also invested in our industrial facilities to deliver the production capacity needed for those products, including an extension to our vaccine facility at Val-de-Reuil (France) and a strategic alliance with Lonza to create a large-scale biologics production facility at Visp (Switzerland). Vaccination should only be recommended when the potential benefits outweigh the potential risks (in countries with a high burden of dengue disease)."
7,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This has included switching some CHC products from non-CHC facilities to the dedicated CHC network, transferring some liquid and effervescent formulations of CHC products to the Cologne site, and transforming the Origgio site into a facility dedicated to a single product family (Enterogermina®).",3,0.0041,1969,"We have recently invested heavily in major projects intended to build a specialist CHC industrial network. This has included switching some CHC products from non-CHC facilities to the dedicated CHC network, transferring some liquid and effervescent formulations of CHC products to the Cologne site, and transforming the Origgio site into a facility dedicated to a single product family (Enterogermina®). Our Industrial Affairs Department has an ongoing policy of adapting industrial facilities to market needs."
8,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The product has also been approved in Europe, and has been launched in a number of countries (Germany, the Netherlands and the United Kingdom).",4,0.0037,2175,"In Europe, Dupixent® was approved at the end of September 2017 for the treatment of adults with moderate to severe atopic dermatitis requiring systemic treatment; the product was made available at the end of the year in Germany, where it generated net sales of €2 million. The product has also been approved in Europe, and has been launched in a number of countries (Germany, the Netherlands and the United Kingdom). The main factor was a fall in sales of Lantus® in the United States, where Diabetes franchise net sales were down 22.8% CER at €3,128 million."
9,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Regional markets are supplied from our Suzano facility in Brazil, our Rzeszow facility in Poland and our ACE facility in Vietnam.",5,0.0036,1966,"Global markets are supplied from our facilities at Compiègne (France), Origgio (Italy), Cologne (Germany) and Veresegyház (Hungary). Regional markets are supplied from our Suzano facility in Brazil, our Rzeszow facility in Poland and our ACE facility in Vietnam. Our facilities at Lisieux (France, production of Doliprane® for the French market), Hangzhou (China), Virginia (Australia), and the Chattem facility in Tennessee (United States), mainly supply their local markets."
10,Is at least one of the company’s production facilities classified as SEVESO « High » (European Detective) or equivalent in other countries,2,Sanofi,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We operate our business through office premises and research, production and logistics facilities in approximately 100 countries around the world.",6,0.0024,1934,"Sanofi European Treasury Center SA (SETC), a 100%-owned Sanofi subsidiary incorporated in 2012 under the laws of Belgium, is dedicated to providing financing and various financial services to our subsidiaries. We operate our business through office premises and research, production and logistics facilities in approximately 100 countries around the world. Our office premises house all of our support functions, plus operational representatives from our subsidiaries and the Company."
