,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
0,Is the company a travel agent or tour operator?,1,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Our businesses create entertainment, travel and consumer products whose success depends substantially on consumer tastes and preferences that change in often unpredictable ways.",1,0.0086,253
1,Is the company a travel agent or tour operator?,1,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We are a diversified entertainment company that offers entertainment, travel and consumer products worldwide.",2,0.0032,384
2,Is the company a travel agent or tour operator?,1,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Adventures by Disney Adventures by Disney offers all-inclusive guided vacation tour packages predominantly at non-Disney sites around the world.,3,0.0027,180
3,Is the company a travel agent or tour operator?,1,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We face substantial competition in each of our businesses from alternative providers of the products and services we offer and from other forms of entertainment, lodging, tourism and recreational activities.",4,0.0017,300
4,Is the company a travel agent or tour operator?,1,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Demand for our products and services, particularly our theme parks and resorts, is highly dependent on the general environment for travel and tourism.",5,0.0012,284
5,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,The Company does not enter into these transactions or any other hedging transactions for speculative purposes.,1,0.002,720
6,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Retail store locations leased by the Company are described in Item 1 under the caption Consumer Products & Interactive Media.,2,0.0008,398
7,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company has entered into operating leases for various real estate and equipment needs, including retail outlets and distribution centers for consumer products, broadcast equipment and office space for general and administrative purposes.",3,0.0008,1037
8,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Management does not believe that the Company has incurred a probable material loss by reason of any of the above actions.,4,0.0005,1041
9,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our Company does not tolerate any form of retaliation against anyone who makes a good faith report of potential misconduct or helps with an investigation.,5,0.0005,1348
10,Does the company organize CRUISES?,3,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company also has contractual commitments for the construction of three new cruise ships, creative talent and employment agreements and unrecognized tax benefits.",1,0.6758,1038
11,Does the company organize CRUISES?,3,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company’s theme parks and resorts as well as Disney Cruise Line and Disney Vacation Club compete with other forms of entertainment, lodging, tourism and recreational activities.",2,0.2963,182
12,Does the company organize CRUISES?,3,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Disney Cruise Line Disney Cruise Line is a four-ship vacation cruise line, which operates out of ports in North America and Europe.",3,0.2549,176
13,Does the company organize CRUISES?,3,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company owns and operates the Walt Disney World Resort in Florida; the Disneyland Resort in California; Disneyland Paris; Aulani, a Disney Resort & Spa in Hawaii; the Disney Vacation Club (DVC); the Disney Cruise Line; and Adventures by Disney.",4,0.0307,100
14,Does the company organize CRUISES?,3,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The Company manages and markets vacation club ownership interests through the Disney Vacation Club; operates the Disney Cruise Line; the Adventures by Disney guided group vacations business; and Aulani, a hotel and vacation club resort in Hawaii.",5,0.0159,773
15,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Disney,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Our strategy for meeting our long-term emissions goal of zero net greenhouse gas emissions follows the hierarchy of: avoiding emissions, reducing emissions through efficiencies, replacing high carbon fuels with low-carbon alternatives, seeking alternative technologies, then using certified carbon credits for remaining emissions.",1,0.9516,1188
