,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index,Context_Answer
0,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We also engage third-party intermediaries, including travel agencies and meeting and event management companies, who collect fees by charging our hotels and resorts a commission on room revenues.",1,0.0112,702,"We have a long-term commitment to support the United Nations in achieving its development goals, starting with the Millennium Development Goals and, since their adoption in 2015, the Sustainable Development Goals (SDGs). We also engage third-party intermediaries, including travel agencies and meeting and event management companies, who collect fees by charging our hotels and resorts a commission on room revenues. Through our business operations and ongoing activities, we make essential contributions to goal 8 (decent work and economic growth), goal 9 (innovation and infrastructure), and goal 13 (climate action)."
1,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Additional sources of competition include large companies that offer online travel services as part of their business model, such as Alibaba, search engines such as Google, and peer-to-peer inventory sources that allow travelers to book stays on websites that facilitate the short-term rental of homes and apartments from owners, thereby providing an alternative to hotel rooms, such as Airbnb and HomeAway.",2,0.0048,714,"This offi cially came into force enterprise wide on March 1, 2018, replacing the previous divisional compliance policies (with the exception of Alcon). Additional sources of competition include large companies that offer online travel services as part of their business model, such as Alibaba, search engines such as Google, and peer-to-peer inventory sources that allow travelers to book stays on websites that facilitate the short-term rental of homes and apartments from owners, thereby providing an alternative to hotel rooms, such as Airbnb and HomeAway. We operate in a highly regulated industry, so guidance and rules still exist, but we believe this approach enables professional judgment across all activities, driving personal accountability for behaviors."
2,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Increasingly, the rooms at hotels and resorts that we manage, franchise or own are booked through third-party internet travel intermediaries and online travel service providers.",3,0.0039,850,"The results, released in September, showed that the innovative ComHIP model improved community health by bringing screening and management services closer to where people live, work and shop. Increasingly, the rooms at hotels and resorts that we manage, franchise or own are booked through third-party internet travel intermediaries and online travel service providers. The positive results of the ComHIP model are contributing to policy change, as Ghana health authorities are working to scale the program to additional regions, and integrate the ComHIP training curriculum and treatment guidelines into the national system."
3,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We also engage third-party intermediaries who collect fees by charging our hotels and resorts a commission on room revenues, including travel agencies and meeting and event management companies.",4,0.0033,431,"The City of Cambridge, Harvard University, and Massachusetts Institute of Technology originally founded the Cambridge Compact for a Sustainable Future in 2013. We also engage third-party intermediaries who collect fees by charging our hotels and resorts a commission on room revenues, including travel agencies and meeting and event management companies. Compact members want to make larger, more meaningful contributions to the challenges global climate change presents."
4,Is the company a travel agent or tour operator?,1,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, some of the rooms at hotels and resorts we manage or franchise are booked through internet travel intermediaries, partners or online travel service providers.",5,0.0032,701,"Major areas of procurement include laboratory equipment, information technology products and services, raw materials, building costs, fixtures and fittings, and chemical products. In addition, some of the rooms at hotels and resorts we manage or franchise are booked through internet travel intermediaries, partners or online travel service providers. As a leading healthcare company, ensuring good health and well-being (goal 3) is at the core of our business and is aligned with our purpose of reimagining medicine to improve and extend people’s lives."
5,"Does the company owns tobacco shops, cafes or drink sales outlet?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"This litigation, if instituted against us, could result in substantial costs, reduce our profits, divert our management's attention and resources and harm our business.",1,0.0005,1064,"The RP risk indicator tool uses the category risk, country risk and contract value in combination to indicate a potential risk around the five areas of elevated ethical risk in the supply chain: labor rights, HSE general, HSE specific, animal welfare and anti-bribery. This litigation, if instituted against us, could result in substantial costs, reduce our profits, divert our management's attention and resources and harm our business. https://www.novartis.com/our-company/corporate-responsibility/ethics-risk-compliance/responsible-procuremen."
6,"Does the company owns tobacco shops, cafes or drink sales outlet?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"These provisions include, among others: • Our amended and restated certificate of incorporation provides for a dual class ownership structure, in which our .",2,0.0004,1535,"Financial planning Yes, water relatedissues are integrated Please select Novartis responsibility is to do business responsibly. These provisions include, among others: • Our amended and restated certificate of incorporation provides for a dual class ownership structure, in which our . For that reason, any activity that impacts the environment, like water, was reviewed and environmental sustainability dimension was included."
7,"Does the company owns tobacco shops, cafes or drink sales outlet?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Hyatt Ziva resorts feature a wide array of food and beverage outlets with an emphasis on authentic cuisine and are able to cater to social or business groups with varied and well-appointed meeting facilities.,3,0.0004,631,"We strive to build trust with society through our efforts to operate with high values and integrity, and to find new ways to expand patients’ access to our treatments. Hyatt Ziva resorts feature a wide array of food and beverage outlets with an emphasis on authentic cuisine and are able to cater to social or business groups with varied and well-appointed meeting facilities. Our strategy is to build a leading, focused medicines company powered by advanced therapy platforms and data science."
8,"Does the company owns tobacco shops, cafes or drink sales outlet?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses.",4,0.0004,2124,"For example, Aimovig, our innovative medicine for the treatment of migraine, is supported by programs designed to help accelerate access both before and after reimbursement, as well as to speed up introduction and access in low- and middle-income countries (LMICs). Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses. We aim to price our medicines responsibly, based on the value they deliver to patients, healthcare systems and society."
9,"Does the company owns tobacco shops, cafes or drink sales outlet?",2,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"If the insurance that we carry, our owners, hospitality ventures or franchisees carry does not sufficiently cover damages or other losses or liabilities, our profits could be adversely affected.",5,0.0004,1071,"Novartis will receive renewable energy credits for all of the electricity generated as a result of the project, which can be used to offset over 70% of the Novartis carbon footprint from purchased electricity in the US market. If the insurance that we carry, our owners, hospitality ventures or franchisees carry does not sufficiently cover damages or other losses or liabilities, our profits could be adversely affected. In the US, we have been working with the Massachusetts Institute of Technology (MIT) on a project that uses computer simulations to analyze climate risks for over 60 of our most important locations worldwide."
10,Does the company organize cruises?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We collaborate closely with the organization to engage suppliers and guide hotel purchasing decisions.,1,0.0004,421,"This includes private discussions in drafting communication to legislators as well as more public engagements at WBCSD conferences. We collaborate closely with the organization to engage suppliers and guide hotel purchasing decisions. A price of carbon in national markets will also increase the adoption of efficiency and renewables, scaling those assets in the local markets and making it more affordable to implement while also providing benefit through lower carbon intensity in the grid."
11,Does the company organize cruises?,3,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Within the United Arab Emirates, Hyatt hotels joined WWF and the Emirates Wildlife Society’s (EWS) regional “Choose Wisely” campaign in 2013, which seeks to increase awareness of local overfishing and encourage more sustainable choices.",2,0.0004,387,"Considering climate relevant data collection in general, we reached 91% response rate including the CDP responses. Within the United Arab Emirates, Hyatt hotels joined WWF and the Emirates Wildlife Society’s (EWS) regional “Choose Wisely” campaign in 2013, which seeks to increase awareness of local overfishing and encourage more sustainable choices. In addition, the data supports our efforts to measure the reduction of our environmental footprint more accurately in the mid to long-term."
