,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
0,Is the company a travel agent or tour operator?,1,Hyatt,Infersent Bi-Lstm,Purchases of Equity Securities by the Issuer and Affiliated Purchasers Issuer Purchases of Equity Securities .,1,0.3377,1270
1,Is the company a travel agent or tour operator?,1,Hyatt,Infersent Bi-Lstm,Internal Control over Financial Reporting Management's Report on Internal Control Over Financial Reporting.,2,0.3128,1602
2,Is the company a travel agent or tour operator?,1,Hyatt,Infersent Bi-Lstm,"See Part I, ""Executive Officers of the Registrant"" of this annual report for information regarding executive officers of the Company.",3,0.2963,1606
3,Is the company a travel agent or tour operator?,1,Hyatt,Infersent Bi-Lstm,"We receive license fees under the licensing agreement, including fees based on sales of vacation ownership units.",4,0.2917,862
4,Is the company a travel agent or tour operator?,1,Hyatt,Infersent Bi-Lstm,"In addition, some of the rooms at hotels and resorts we manage or franchise are booked through internet travel intermediaries, partners or online travel service providers.",5,0.2903,701
5,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Infersent Bi-Lstm,"Represents revenues derived from hotel operations, including room rentals and food and beverage sales, and other ancillary revenues at our owned and leased properties.",1,0.4499,1338
6,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Infersent Bi-Lstm,"Hyatt Place hotels also offer the 24/7 Gallery Menu and the Coffee to Cocktails Bar, which features specialty coffees, premium beer, wine and spirits.",2,0.4276,625
7,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Infersent Bi-Lstm,"Expenses to operate our hotels include room expense, food and beverage costs, other support costs and property expenses.",3,0.4065,1379
8,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Infersent Bi-Lstm,"In the Americas we buy food, operating supplies, and services through Avendra, a purchasing consortium that serves the hospitality industry.",4,0.3647,420
9,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Infersent Bi-Lstm,"He also oversaw various corporate functions for North America, including sales, human resources, product and design, rooms, food and beverage and engineering.",5,0.3427,1230
