,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
0,Is the company a travel agent or tour operator?,1,Hyatt,Tf-Idf + Lemmatizer,"Through this system, we are able to allow bookings by hotels directly, via telephone and correspondence through our contact centers, by travel agents, by corporate clients and online through Hyatt.com.",1,0.3928,698
1,Is the company a travel agent or tour operator?,1,Hyatt,Tf-Idf + Lemmatizer,"For example, we depend on our central reservation system, which allows bookings by hotels directly, via telephone through our call centers, by travel agents, online through our website www.hyatt.com, and through our online reservations partners.",2,0.3908,1083
2,Is the company a travel agent or tour operator?,1,Hyatt,Tf-Idf + Lemmatizer,"Increasingly, the rooms at hotels and resorts that we manage, franchise or own are booked through third-party internet travel intermediaries and online travel service providers.",3,0.1393,850
3,Is the company a travel agent or tour operator?,1,Hyatt,Tf-Idf + Lemmatizer,"In addition, some of the rooms at hotels and resorts we manage or franchise are booked through internet travel intermediaries, partners or online travel service providers.",4,0.1389,701
4,Is the company a travel agent or tour operator?,1,Hyatt,Tf-Idf + Lemmatizer,"We also strive to work with third party agents, suppliers, vendors, and business partners who share our values.",5,0.132,2082
5,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf-Idf + Lemmatizer,"• We sold the shares of the company that owns Hyatt Regency Birmingham (U.K.) for approximately $49 million, net of closing costs and proration adjustments.",1,0.3477,1493
6,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf-Idf + Lemmatizer,"Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses.",2,0.3441,763
7,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf-Idf + Lemmatizer,"• We sold Hyatt Residential Group for net proceeds of $220 million, which includes an interest in a joint venture that owns a vacation ownership property in Maui, Hawaii, as well as a full service hotel.",3,0.165,1500
8,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf-Idf + Lemmatizer,"In 2012, Hyatt removed shark fin from our menus, and in 2014, we instituted a complete ban of shark fin in all of our restaurants and food and beverage outlets worldwide.",4,0.1539,382
9,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Hyatt,Tf-Idf + Lemmatizer,Hyatt Ziva resorts feature a wide array of food and beverage outlets with an emphasis on authentic cuisine and are able to cater to social or business groups with varied and well-appointed meeting facilities.,5,0.152,631
10,Does the company organize CRUISES?,3,Hyatt,Tf-Idf + Lemmatizer,"Never allow anyone to convince you to misrepresent facts or record something that does not feel right, and be alert if this happens around you.",1,0.1473,2118
11,Does the company organize CRUISES?,3,Hyatt,Tf-Idf + Lemmatizer,Our Approach to Creating Value in our Communities Thriving communities are central to everything that Hyatt does.,2,0.1291,181
12,Does the company organize CRUISES?,3,Hyatt,Tf-Idf + Lemmatizer,• Our amended and restated certificate of incorporation does not provide for cumulative voting in the election of directors.,3,0.1237,1138
13,Does the company organize CRUISES?,3,Hyatt,Tf-Idf + Lemmatizer,"Our Commitment to Corporate Responsibility Hyatt Thrive is an integral part of our business and we recognize when our people, communities and planet thrive, so does our business.",4,0.1166,642
14,Does the company organize CRUISES?,3,Hyatt,Tf-Idf + Lemmatizer,"As our global footprint continues to grow, so does competition for recruiting a talented workforce to staff our hotels.",5,0.1164,243
15,Has the company formalized a strategy to reduce its greenhouse gasemissions?,4,Hyatt,Tf-Idf + Lemmatizer,"As part of this effort, we formalized our partnerships with two relief and humanitarian organizations, the American Red Cross and Mercy Corps.",1,0.3457,277
16,Has the company formalized a strategy to reduce its greenhouse gasemissions?,4,Hyatt,Tf-Idf + Lemmatizer,"Greenhouse gas emissions were calculated using the Greenhouse Gas Protocol Corporate Accounting Standard, and this process and data were verified by an independent external auditing firm in 2009.",2,0.2147,445
17,Has the company formalized a strategy to reduce its greenhouse gasemissions?,4,Hyatt,Tf-Idf + Lemmatizer,Each of our three regions will reduce energy use and greenhouse gas emissions per square meter by 25% compared to 2006.,3,0.2068,310
18,Has the company formalized a strategy to reduce its greenhouse gasemissions?,4,Hyatt,Tf-Idf + Lemmatizer,"We formalized these previously ad hoc groups in 2011 with Women@Hyatt, a group devoted to further empowering women’s roles at every level of Hyatt; we further expanded in 2012 with HyPride, a group for members and supporters of the LGBT community.",4,0.1989,154
19,Has the company formalized a strategy to reduce its greenhouse gasemissions?,4,Hyatt,Tf-Idf + Lemmatizer,Understanding and reducing our energy use and greenhouse gas (GHG) emissions is more important than ever as our operations continue to grow and global travel – which produces significant greenhouse gas emissions – continues to increase.,5,0.1425,325
20,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf-Idf + Lemmatizer,"We believe the Company's insurance policies, as well as those maintained by third-party owners, including hospitality ventures, are adequate for foreseeable losses and on terms and conditions that are reasonable and customary with solvent insurance carriers.",1,0.393,764
21,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf-Idf + Lemmatizer,We currently do not have a life insurance policy or key person insurance policy with respect to any of our senior executives.,2,0.3689,1024
22,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf-Idf + Lemmatizer,The Code establishes our expectation that suppliers will work to mitigate the environmental impacts of their own operations.,3,0.17,419
23,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf-Idf + Lemmatizer,"We maintain insurance coverage for hotels owned by the Company under our insurance programs for liability, property, workers compensation and other risks with respect to our business.",4,0.1399,755
24,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf-Idf + Lemmatizer,"We create records responsibly, ensuring that they correctly represent our intentions, actions, and decisions, and we retain them in accordance with Company policies and the laws.",5,0.0967,2117
25,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf-Idf + Lemmatizer,"The goal of revenue management is to secure the right customers, on the right date, at the right price.",1,0.1817,690
26,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf-Idf + Lemmatizer,"We maintain insurance coverage for hotels owned by the Company under our insurance programs for liability, property, workers compensation and other risks with respect to our business.",2,0.1629,755
27,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf-Idf + Lemmatizer,This is not only the right thing to do for the planet and our communities; it’s the right thing to do for our business.,3,0.1288,290
28,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf-Idf + Lemmatizer,Our workers compensation insurance provides coverage for employee injuries in the course and scope of employment.,4,0.128,758
29,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf-Idf + Lemmatizer,It is with the support of hotel owners and franchisees that new initiatives are implemented at each hotel.,5,0.1278,67
30,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf-Idf + Lemmatizer,"As a result, we may be forced to absorb such costs to ensure that brand standards come to market in a timely fashion.",1,0.2096,995
31,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf-Idf + Lemmatizer,"We maintain insurance coverage for hotels owned by the Company under our insurance programs for liability, property, workers compensation and other risks with respect to our business.",2,0.1127,755
