,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
0,Is the company a travel agent or tour operator?,1,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We also compete for guests with large companies that offer online travel services as part of their business model, search engines such as Google and Bing, and online services including Airbnb and HomeAway that allow travelers to book short-term rentals of homes and apartments as an alternative to hotel rooms.",1,0.011,128
1,Is the company a travel agent or tour operator?,1,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"These intermediaries initially focused on leisure travel, but now also provide offerings for corporate travel and group meetings.",2,0.0045,311
2,Is the company a travel agent or tour operator?,1,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We believe that our brand names and other intellectual property have come to represent the highest standards of quality, care, service, and value to our customers, guests, and the traveling public.",3,0.0022,91
3,Is the company a travel agent or tour operator?,1,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Our ability to remain competitive and attract and retain business and leisure travelers depends on our success in distinguishing the quality, value, and efficiency of our lodging products and services, including our Loyalty Program, direct booking channels, and consumer-facing technology platforms and services, from those offered by others.",4,0.002,161
4,Is the company a travel agent or tour operator?,1,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Some of our hotel rooms are booked through Internet travel intermediaries such as Expedia.com®, Priceline.com®, Booking.com™, Travelocity.com®, and Orbitz.com®, as well as lesser-known online travel service providers.",5,0.002,310
5,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Bribery in commercial transactions is illegal in the U.S. and in other countries and localities where Marriott does business.,1,0.0004,1087
6,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"The manager reasons that the additional work will not interfere with the assistant’s duties for Marriott, and the assistant does not mind assisting with the new venture.",2,0.0003,1243
7,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Commercial Bribery and Improper Gifts Improper Gifts Marriott has established clear policies regarding the acceptance and giving of gifts between associates and business partners, customers, contractors, vendors, and suppliers.",3,0.0003,1089
8,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Similarly, never give a gift or other benefit to a government official for the purpose of gaining an improper advantage.",4,0.0003,1174
9,"Does the company owns TOBACCO shops, CAFES or DRINK sales OUTLET?",2,Mariott,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"If you suspect that our property is being used for illegal purposes or in a way that does not respect human dignity, or if you believe that an associate’s conduct is inconsistent with this policy, report your concerns immediately, using any resource listed on page 5, Where to .",5,0.0003,1289
